start
done
         845400 function calls (831173 primitive calls) in 0.725 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 case.py:430(addTypeEqualityFunc)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        6    0.000    0.000    0.000    0.000 numeric.py:2656(seterr)
        6    0.000    0.000    0.000    0.000 numeric.py:2758(geterr)
        6    0.000    0.000    0.000    0.000 _type_aliases.py:113(<genexpr>)
        6    0.000    0.000    0.000    0.000 core.py:844(__init__)
        6    0.000    0.000    0.000    0.000 core.py:1144(__init__)
        6    0.000    0.000    0.000    0.000 textwrap.py:465(indent)
        6    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
        5    0.000    0.000    0.000    0.000 pyparsing.py:3032(__str__)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4292(__init__)
        5    0.000    0.000    0.000    0.000 six.py:159(_resolve)
        5    0.000    0.000    0.000    0.000 texmanager.py:96(<genexpr>)
        5    0.000    0.000    0.000    0.000 pyparsing.py:3923(__str__)
        5    0.000    0.000    0.000    0.000 rcsetup.py:153(validate_float_or_None)
        5    0.000    0.000    0.000    0.000 rcsetup.py:190(validate_dpi)
        5    0.000    0.000    0.000    0.000 rcsetup.py:209(validate_int_or_None)
        5    0.000    0.000    0.000    0.000 rcsetup.py:324(<listcomp>)
        5    0.000    0.000    0.000    0.000 rcsetup.py:312(__call__)
        5    0.000    0.000    0.000    0.000 rcsetup.py:413(validate_aspect)
        5    0.000    0.000    0.000    0.000 rcsetup.py:468(validate_whiskers)
        5    0.000    0.000    0.000    0.000 rcsetup.py:484(update_savefig_format)
        5    0.000    0.000    0.000    0.000 rcsetup.py:607(validate_hinting)
        5    0.000    0.000    0.000    0.000 rcsetup.py:631(validate_bbox)
        5    0.000    0.000    0.000    0.000 rcsetup.py:644(validate_sketch)
        5    0.000    0.000    0.000    0.000 rcsetup.py:890(validate_hist_bins)
        5    0.000    0.000    0.000    0.000 __init__.py:1876(_str_equal)
        5    0.000    0.000    0.000    0.000 getlimits.py:497(__init__)
        5    0.000    0.000    0.000    0.000 pathlib.py:1163(stat)
        5    0.000    0.000    0.000    0.000 pathlib.py:1353(is_dir)
        5    0.000    0.000    0.000    0.000 _inspect.py:145(<lambda>)
        5    0.000    0.000    0.000    0.000 datetime.py:46(_days_in_month)
        5    0.000    0.000    0.000    0.000 datetime.py:396(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:409(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:426(_check_tzinfo_arg)
        5    0.000    0.000    0.000    0.000 re.py:252(escape)
        5    0.000    0.000    0.000    0.000 os.py:756(decode)
        4    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
        4    0.000    0.000    0.000    0.000 {method 'title' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.000    0.000 {built-in method math.log}
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
        4    0.000    0.000    0.004    0.001 __init__.py:2(<module>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:315(__init__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:420(__setitem__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1841(__radd__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2020(__invert__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3015(parseImpl)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3353(setResultsName)
        4    0.000    0.000    0.000    0.000 pyparsing.py:4383(postParse)
        4    0.000    0.000    0.000    0.000 six.py:195(load_module)
        4    0.000    0.000    0.000    0.000 six.py:209(is_package)
        4    0.000    0.000    0.000    0.000 __init__.py:1957(register_finder)
        4    0.000    0.000    0.000    0.000 __init__.py:2173(register_namespace_handler)
        4    0.000    0.000    0.000    0.000 __init__.py:137(_declare_state)
        4    0.000    0.000    0.000    0.000 __init__.py:344(register_loader_type)
        4    0.000    0.000    0.000    0.000 scale.py:592(<listcomp>)
        4    0.000    0.000    0.000    0.000 isoparser.py:22(_takes_ascii)
        4    0.000    0.000    0.000    0.000 rrule.py:80(_invalidates_cache)
        4    0.000    0.000    0.000    0.000 legend_handler.py:179(__init__)
        4    0.000    0.000    0.000    0.000 backend_bases.py:92(register_backend)
        4    0.000    0.000    0.000    0.000 docstring.py:35(__init__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3807(__init__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:4361(postParse)
        4    0.000    0.000    0.000    0.000 pyparsing.py:292(__init__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:397(__setitem__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:434(__len__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1819(__radd__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1998(__invert__)
        4    0.000    0.000    0.000    0.000 rcsetup.py:108(validate_path_exists)
        4    0.000    0.000    0.000    0.000 fontconfig_pattern.py:152(_property)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        4    0.000    0.000    0.000    0.000 ssl.py:367(__new__)
        4    0.000    0.000    0.000    0.000 __init__.py:736(gen_candidates)
        4    0.000    0.000    0.000    0.000 iterative.py:122(combine)
        4    0.000    0.000    0.000    0.000 iterative.py:121(set_docstring)
        4    0.000    0.000    0.000    0.000 six.py:67(_add_doc)
        4    0.000    0.000    0.000    0.000 serialutil.py:54(to_bytes)
        4    0.000    0.000    0.000    0.000 core.py:123(doc_note)
        4    0.000    0.000    0.000    0.000 tokenize.py:374(read_or_stop)
        4    0.000    0.000    0.000    0.000 tokenize.py:380(find_cookie)
        4    0.000    0.000    0.000    0.000 mixins.py:55(_unary_method)
        4    0.000    0.000    0.000    0.000 polynomial.py:1134(_coeffs)
        4    0.000    0.000    0.000    0.000 polynomial.py:1143(__init__)
        4    0.000    0.000    0.000    0.000 function_base.py:1573(trim_zeros)
        4    0.000    0.000    0.000    0.000 ufunclike.py:16(_deprecate_out_named_y)
        4    0.000    0.000    0.000    0.000 shape_base.py:25(atleast_1d)
        4    0.000    0.000    0.000    0.000 numeric.py:3083(extend_all)
        4    0.000    0.000    0.000    0.000 __init__.py:497(cast)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 core.py:3349(dtype)
        4    0.000    0.000    0.000    0.000 core.py:6259(__has_singleton)
        4    0.000    0.000    0.000    0.000 enum.py:793(_missing_)
        4    0.000    0.000    0.000    0.000 enum.py:800(_create_pseudo_member_)
        4    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
        4    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
        4    0.000    0.000    0.000    0.000 re.py:205(split)
        4    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        4    0.000    0.000    0.000    0.000 weakref.py:290(update)
        3    0.000    0.000    0.000    0.000 {method 'copy' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _socket.inet_aton}
        3    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
        3    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        3    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        3    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f603e4287a0}
        3    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
        3    0.000    0.000    0.000    0.000 sharedctypes.py:148(make_property)
        3    0.000    0.000    0.000    0.000 util.py:163(__init__)
        3    0.000    0.000    0.000    0.000 sequential.py:24(<genexpr>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1877(__mul__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2376(__init__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3064(<genexpr>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3066(<genexpr>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3164(__init__)
        3    0.000    0.000    0.000    0.000 six.py:114(_resolve)
        3    0.000    0.000    0.005    0.002 colorbrewer.py:193(_load_maps_by_type)
        3    0.000    0.000    0.001    0.000 utils.py:1(<module>)
        3    0.000    0.000    0.000    0.000 scale.py:551(get_scale_names)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
        3    0.000    0.000    0.000    0.000 __init__.py:42(private_class)
        3    0.000    0.000    0.000    0.000 __init__.py:35(__deprecate_private_class)
        3    0.000    0.000    0.000    0.000 _common.py:128(_validate_fromutc_inputs)
        3    0.000    0.000    0.000    0.000 legend_handler.py:210(__init__)
        3    0.000    0.000    0.000    0.000 legend_handler.py:340(__init__)
        3    0.000    0.000    0.000    0.000 backend_bases.py:3284(Show)
        3    0.000    0.000    0.000    0.000 backend_bases.py:3270(export)
        3    0.000    0.000    0.000    0.000 _cm.py:96(get_color_function)
        3    0.000    0.000    0.003    0.001 _version.py:7(<module>)
        3    0.000    0.000    0.003    0.001 __init__.py:299(loads)
        3    0.000    0.000    0.003    0.001 decoder.py:332(decode)
        3    0.002    0.001    0.003    0.001 decoder.py:343(raw_decode)
        3    0.000    0.000    0.000    0.000 six.py:837(wrapper)
        3    0.000    0.000    0.000    0.000 six.py:835(add_metaclass)
        3    0.000    0.000    0.000    0.000 pyparsing.py:4270(__init__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1855(__mul__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2004(__call__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2023(suppress)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3042(<genexpr>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3044(<genexpr>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3142(__init__)
        3    0.000    0.000    0.000    0.000 rcsetup.py:103(validate_any)
        3    0.000    0.000    0.000    0.000 rcsetup.py:168(validate_string_or_None)
        3    0.000    0.000    0.000    0.000 rcsetup.py:256(validate_qt4)
        3    0.000    0.000    0.000    0.000 rcsetup.py:262(validate_qt5)
        3    0.000    0.000    0.000    0.000 rcsetup.py:268(validate_toolbar)
        3    0.000    0.000    0.000    0.000 rcsetup.py:422(validate_fontsize_None)
        3    0.000    0.000    0.000    0.000 rcsetup.py:921(validate_webagg_address)
        3    0.000    0.000    0.000    0.000 __init__.py:904(<dictcomp>)
        3    0.000    0.000    0.000    0.000 __init__.py:903(__init__)
        3    0.000    0.000    0.000    0.000 version.py:69(__ge__)
        3    0.000    0.000    0.000    0.000 version.py:331(_cmp)
        3    0.000    0.000    0.000    0.000 doccer.py:135(_doc)
        3    0.000    0.000    0.000    0.000 doccer.py:128(extend_notes_in_docstring)
        3    0.000    0.000    0.009    0.003 __init__.py:15(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
        3    0.000    0.000    0.000    0.000 blas.py:236(find_best_blas_type)
        3    0.000    0.000    0.000    0.000 blas.py:297(_get_funcs)
        3    0.000    0.000    0.000    0.000 blas.py:343(get_blas_funcs)
        3    0.000    0.000    0.000    0.000 _version.py:70(<listcomp>)
        3    0.000    0.000    0.000    0.000 random.py:88(__init__)
        3    0.000    0.000    0.000    0.000 random.py:97(seed)
        3    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1600(getEffectiveLevel)
        3    0.000    0.000    0.000    0.000 result.py:12(failfast)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
        3    0.000    0.000    0.000    0.000 index_tricks.py:310(__init__)
        3    0.000    0.000    0.000    0.000 numeric.py:3054(__init__)
        3    0.000    0.000    0.000    0.000 numeric.py:3058(__enter__)
        3    0.000    0.000    0.000    0.000 numeric.py:3063(__exit__)
        3    0.000    0.000    0.000    0.000 __init__.py:490(CFunctionType)
        3    0.000    0.000    0.000    0.000 __init__.py:489(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 numerictypes.py:238(obj2sctype)
        3    0.000    0.000    0.000    0.000 pathlib.py:1066(home)
        3    0.000    0.000    0.000    0.000 pathlib.py:1251(mkdir)
        3    0.000    0.000    0.000    0.000 pathlib.py:366(gethomedir)
        3    0.000    0.000    0.000    0.000 datetime.py:41(_days_before_year)
        3    0.000    0.000    0.000    0.000 datetime.py:1517(__new__)
        3    0.000    0.000    0.000    0.000 datetime.py:2156(_create)
        3    0.000    0.000    0.000    0.000 core.py:804(__init__)
        3    0.000    0.000    0.000    0.000 core.py:865(__init__)
        3    0.000    0.000    0.000    0.000 core.py:1361(getmask)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:46(_w_long)
        2    0.000    0.000    0.000    0.000 {method 'deleter' of 'property' objects}
        2    0.000    0.000    0.000    0.000 {built-in method maketrans}
        2    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 {built-in method posix.access}
        2    0.013    0.006    0.013    0.006 {built-in method posix.open}
        2    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
        2    0.000    0.000    0.000    0.000 {built-in method posix.unsetenv}
        2    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        2    0.002    0.001    0.002    0.001 {method 'readlines' of '_io._IOBase' objects}
        2    0.000    0.000    0.000    0.000 {built-in method from_iterable}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.000    0.000 heap.py:121(_roundup)
        2    0.000    0.000    0.016    0.008 sequential.py:5(<module>)
        2    0.000    0.000    0.206    0.103 diverging.py:5(<module>)
        2    0.021    0.011    0.021    0.011 colordata.py:4(<module>)
        2    0.000    0.000    0.006    0.003 diverging.py:1(<module>)
        2    0.000    0.000    0.003    0.002 sequential.py:1(<module>)
        2    0.000    0.000    0.000    0.000 sysconfig.py:181(_get_default_scheme)
        2    0.000    0.000    0.000    0.000 pyparsing.py:460(__iter__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:644(__getattr__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:666(<lambda>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:668(<listcomp>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1288(addParseAction)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1567(resetCache)
        2    0.000    0.000    0.001    0.000 pyparsing.py:1608(parseString)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2863(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2963(__str__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3461(<genexpr>)
        2    0.000    0.000    0.001    0.000 pyparsing.py:3859(parseImpl)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4003(parseImpl)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4214(copy)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4450(delimitedList)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4681(originalTextFor)
        2    0.000    0.000    0.001    0.001 pyparsing.py:4763(srange)
        2    0.000    0.000    0.001    0.000 six.py:1(<module>)
        2    0.000    0.000    0.000    0.000 six.py:86(_LazyDescr)
        2    0.000    0.000    0.000    0.000 six.py:103(MovedModule)
        2    0.000    0.000    0.000    0.000 six.py:124(_LazyModule)
        2    0.000    0.000    0.000    0.000 six.py:139(MovedAttribute)
        2    0.000    0.000    0.000    0.000 six.py:173(__init__)
        2    0.000    0.000    0.000    0.000 six.py:164(_SixMetaPathImporter)
        2    0.000    0.000    0.000    0.000 six.py:229(_MovedItems)
        2    0.000    0.000    0.002    0.001 __init__.py:8(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:2004(find_nothing)
        2    0.000    0.000    0.000    0.000 __init__.py:2256(declare_namespace)
        2    0.000    0.000    0.050    0.025 __init__.py:3233(_call_aside)
        2    0.001    0.000    0.001    0.000 colormaps.py:6(<module>)
        2    0.000    0.000    0.000    0.000 axis.py:663(__init__)
        2    0.000    0.000    0.006    0.003 __init__.py:3(<module>)
        2    0.000    0.000    0.001    0.001 triangulation.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:18(_get_running_interactive_framework)
        2    0.000    0.000    0.000    0.000 legend_handler.py:262(__init__)
        2    0.000    0.000    0.000    0.000 cm.py:77(<listcomp>)
        2    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4428(delimitedList)
        2    0.000    0.000    0.001    0.001 pyparsing.py:4741(srange)
        2    0.000    0.000    0.000    0.000 pyparsing.py:621(__getattr__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:643(<lambda>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:645(<listcomp>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1265(addParseAction)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3177(__init__)
      2/1    0.000    0.000    0.000    0.000 deprecation.py:248(wrapper)
        2    0.000    0.000    0.000    0.000 rcsetup.py:78(<listcomp>)
        2    0.000    0.000    0.000    0.000 rcsetup.py:315(<listcomp>)
        2    0.001    0.000    0.016    0.008 __init__.py:7(<module>)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
        2    0.000    0.000    0.000    0.000 calendar.py:74(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:175(compare_versions)
        2    0.000    0.000    0.000    0.000 __init__.py:602(_get_config_or_cache_dir)
        2    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
        2    0.000    0.000    0.000    0.000 _multivariate.py:1728(__init__)
        2    0.000    0.000    0.000    0.000 _distn_infrastructure.py:3416(get_distribution_names)
        2    0.000    0.000    0.001    0.000 _distn_infrastructure.py:738(_construct_default_doc)
        2    0.000    0.000    0.008    0.004 _util.py:1(<module>)
        2    0.000    0.000    0.008    0.004 __init__.py:57(<module>)
        2    0.000    0.000    0.000    0.000 doccer.py:159(_doc)
        2    0.000    0.000    0.000    0.000 doccer.py:152(replace_notes_in_docstring)
        2    0.000    0.000    0.000    0.000 doccer.py:204(filldoc)
        2    0.000    0.000    0.000    0.000 doccer.py:230(unindent_dict)
        2    0.000    0.000    0.000    0.000 common.py:1(<module>)
        2    0.000    0.000    0.001    0.001 base.py:1(<module>)
        2    0.000    0.000    0.001    0.001 __init__.py:19(<module>)
        2    0.000    0.000    0.000    0.000 _onenormest.py:122(_blocked_elementwise)
        2    0.000    0.000    0.000    0.000 __init__.py:14(<listcomp>)
        2    0.000    0.000    0.000    0.000 decorator.py:236(decorator)
        2    0.000    0.000    0.000    0.000 _util.py:157(__init__)
        2    0.000    0.000    0.000    0.000 context.py:232(get_context)
        2    0.000    0.000    0.000    0.000 process.py:85(<genexpr>)
        2    0.000    0.000    0.000    0.000 _distributor_init.py:10(<module>)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:148(__gt__)
        2    0.000    0.000    0.006    0.003 __init__.py:10(<module>)
        2    0.000    0.000    0.000    0.000 tempfile.py:281(rng)
        2    0.000    0.000    0.000    0.000 tempfile.py:295(<listcomp>)
        2    0.000    0.000    0.000    0.000 tempfile.py:292(__next__)
        2    0.000    0.000    0.011    0.005 __init__.py:45(<module>)
        2    0.000    0.000    0.006    0.003 __init__.py:86(<module>)
        2    0.000    0.000    0.000    0.000 helper.py:253(__init__)
        2    0.000    0.000    0.002    0.001 linecache.py:82(updatecache)
        2    0.000    0.000    0.000    0.000 tokenize.py:109(maybe)
        2    0.000    0.000    0.000    0.000 tokenize.py:350(detect_encoding)
        2    0.000    0.000    0.000    0.000 tokenize.py:443(open)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
        2    0.000    0.000    0.000    0.000 index_tricks.py:144(__init__)
        2    0.000    0.000    0.000    0.000 index_tricks.py:726(__init__)
        2    0.000    0.000    0.000    0.000 getlimits.py:239(_get_machar)
        2    0.000    0.000    0.000    0.000 getlimits.py:398(_init)
        2    0.000    0.000    0.000    0.000 getlimits.py:522(max)
        2    0.000    0.000    0.000    0.000 arrayprint.py:460(decorating_function)
        2    0.000    0.000    0.000    0.000 arrayprint.py:450(_recursive_guard)
        2    0.000    0.000    0.000    0.000 arrayprint.py:1571(set_string_function)
        2    0.000    0.000    0.000    0.000 numeric.py:175(ones)
        2    0.000    0.000    0.000    0.000 __init__.py:428(__init__)
        2    0.000    0.000    0.000    0.000 pathlib.py:673(_from_parsed_parts)
        2    0.000    0.000    0.000    0.000 pathlib.py:694(_make_child)
        2    0.000    0.000    0.000    0.000 pathlib.py:907(__truediv__)
        2    0.000    0.000    0.000    0.000 pathlib.py:101(join_parsed_parts)
        2    0.000    0.000    0.000    0.000 pathlib.py:60(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.set_string_function}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.copyto}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        2    0.000    0.000    0.000    0.000 {method 'tobytes' of 'numpy.generic' objects}
        2    0.000    0.000    0.000    0.000 {method 'newbyteorder' of 'numpy.generic' objects}
        2    0.000    0.000    0.000    0.000 datetime.py:646(__neg__)
        2    0.000    0.000    0.000    0.000 datetime.py:804(__new__)
        2    0.000    0.000    0.000    0.000 datetime.py:1187(__new__)
        2    0.000    0.000    0.000    0.000 core.py:881(__init__)
        2    0.000    0.000    0.000    0.000 core.py:2905(_update_from)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
        2    0.000    0.000    0.000    0.000 core.py:3365(shape)
        2    0.000    0.000    0.000    0.000 core.py:6347(__setattr__)
        2    0.000    0.000    0.000    0.000 core.py:6448(__init__)
        2    0.000    0.000    0.000    0.000 enum.py:610(__hash__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:98(checkgroup)
        2    0.000    0.000    0.000    0.000 sre_parse.py:101(checklookbehindgroup)
        2    0.000    0.000    0.000    0.000 weakref.py:356(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:42(__getattr__)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        2    0.000    0.000    0.000    0.000 os.py:682(__setitem__)
        2    0.000    0.000    0.000    0.000 os.py:688(__delitem__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
        1    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
        1    0.001    0.001    0.001    0.001 {built-in method posix.replace}
        1    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        1    0.000    0.000    0.000    0.000 {built-in method posix.unlink}
        1    0.002    0.002    0.002    0.002 {built-in method posix.fork}
        1    0.000    0.000    0.000    0.000 {built-in method posix.close}
        1    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        1    0.000    0.000    0.000    0.000 {built-in method posix.ftruncate}
        1    0.000    0.000    0.000    0.000 {built-in method posix.statvfs}
        1    0.000    0.000    0.000    0.000 {built-in method posix.sysconf}
        1    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 {built-in method _thread._set_sentinel}
        1    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        1    0.000    0.000    0.000    0.000 {built-in method gc.collect}
        1    0.000    0.000    0.000    0.000 {built-in method _bisect.insort_right}
        1    0.000    0.000    0.000    0.000 {built-in method _bisect.bisect_left}
        1    0.000    0.000    0.000    0.000 {built-in method sys._current_frames}
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
        1    0.000    0.000    0.000    0.000 gui_class.py:14(MainWindow)
        1    0.000    0.000    0.000    0.000 gui_class.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sharedctypes.py:39(_new_value)
        1    0.000    0.000    0.001    0.001 sharedctypes.py:54(RawArray)
        1    0.000    0.000    0.002    0.002 sharedctypes.py:84(Array)
        1    0.000    0.000    0.000    0.000 sharedctypes.py:103(synchronized)
        1    0.000    0.000    0.000    0.000 sharedctypes.py:135(rebuild_ctype)
        1    0.000    0.000    0.000    0.000 sharedctypes.py:182(__init__)
        1    0.000    0.000    0.000    0.000 sharedctypes.py:180(SynchronizedBase)
        1    0.000    0.000    0.000    0.000 sharedctypes.py:212(Synchronized)
        1    0.000    0.000    0.000    0.000 sharedctypes.py:216(SynchronizedArray)
        1    0.000    0.000    0.000    0.000 sharedctypes.py:238(SynchronizedString)
        1    0.000    0.000    0.002    0.002 sharedctypes.py:10(<module>)
        1    0.000    0.000    0.000    0.000 heap.py:68(__init__)
        1    0.000    0.000    0.000    0.000 heap.py:80(_choose_dir)
        1    0.000    0.000    0.000    0.000 heap.py:62(Arena)
        1    0.000    0.000    0.000    0.000 heap.py:108(__init__)
        1    0.000    0.000    0.000    0.000 heap.py:127(_malloc)
        1    0.000    0.000    0.000    0.000 heap.py:149(_free)
        1    0.000    0.000    0.000    0.000 heap.py:194(_free_pending_blocks)
        1    0.000    0.000    0.000    0.000 heap.py:231(malloc)
        1    0.000    0.000    0.000    0.000 heap.py:104(Heap)
        1    0.000    0.000    0.000    0.000 heap.py:258(__init__)
        1    0.000    0.000    0.000    0.000 heap.py:267(create_memoryview)
        1    0.000    0.000    0.000    0.000 heap.py:254(BufferWrapper)
        1    0.000    0.000    0.001    0.001 heap.py:10(<module>)
        1    0.000    0.000    0.000    0.000 util.py:48(debug)
        1    0.000    0.000    0.000    0.000 util.py:52(info)
        1    0.000    0.000    0.000    0.000 util.py:148(register_after_fork)
        1    0.000    0.000    0.000    0.000 util.py:159(Finalize)
        1    0.000    0.000    0.000    0.000 util.py:345(ForkAwareThreadLock)
        1    0.000    0.000    0.000    0.000 util.py:362(ForkAwareLocal)
        1    0.000    0.000    0.000    0.000 util.py:410(_flush_std_streams)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
        1    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
        1    0.000    0.000    0.000    0.000 synchronize.py:114(_make_name)
        1    0.000    0.000    0.000    0.000 synchronize.py:46(SemLock)
        1    0.000    0.000    0.000    0.000 synchronize.py:123(Semaphore)
